                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0881,                 6.0742,                 1.3405,                0.38622,                0.60723,                 0.4021,                0.31714,                0.78487,                 14.949,                 1.0656,             0.00016216,             0.00016216,             0.00016216
                      2,                0.89057,                 1.9966,                 1.1409,                0.41408,                0.61765,                0.54472,                0.43528,                0.78862,                 1.8839,                 1.0835,             0.00032554,             0.00032554,             0.00032554
                      3,                0.86106,                 1.5203,                 1.1502,                0.65794,                0.56986,                0.62674,                0.50463,                0.78126,                 1.6763,                 1.1032,             0.00048559,             0.00048559,             0.00048559
                      4,                0.88443,                 1.3599,                 1.1393,                0.78346,                0.61417,                0.70032,                0.56578,                0.77024,                 1.2461,                 1.1099,               0.000485,               0.000485,               0.000485
                      5,                0.89673,                  1.354,                 1.2006,                0.68634,                0.71609,                0.69397,                0.55462,                0.80999,                  1.032,                 1.1226,                0.00048,                0.00048,                0.00048
                      6,                0.86156,                 1.1337,                 1.1417,                 0.7894,                0.64522,                0.71474,                 0.5736,                0.79027,                 1.0041,                 1.0956,               0.000475,               0.000475,               0.000475
                      7,                0.85067,                 1.0219,                 1.0722,                0.67025,                0.71139,                0.75763,                0.61837,                0.75421,                0.81271,                 1.0461,                0.00047,                0.00047,                0.00047
                      8,                0.80676,                0.94619,                 1.0773,                0.66797,                0.82353,                0.76939,                0.63433,                0.69789,                0.66776,                 1.0031,               0.000465,               0.000465,               0.000465
                      9,                0.82323,                0.89367,                 1.0985,                0.66667,                0.77438,                0.75663,                0.62433,                0.70215,                0.64756,                 1.0091,                0.00046,                0.00046,                0.00046
                     10,                0.78224,                0.83208,                 1.1121,                0.87063,                0.79065,                0.89537,                0.73379,                0.69392,                0.59464,                   1.01,               0.000455,               0.000455,               0.000455
                     11,                0.80008,                0.81926,                 1.0892,                0.69833,                0.87888,                0.83697,                0.64784,                0.75911,                0.70826,                  1.068,                0.00045,                0.00045,                0.00045
                     12,                0.75825,                 0.7724,                 1.0869,                0.65663,                0.92817,                0.83104,                0.68171,                0.66251,                 0.5763,                0.99699,               0.000445,               0.000445,               0.000445
                     13,                0.78125,                 0.7606,                 1.0731,                0.77778,                0.83905,                0.84326,                0.69505,                0.64388,                0.53821,                0.97318,                0.00044,                0.00044,                0.00044
                     14,                 0.7112,                0.64538,                 1.0247,                0.75477,                0.76123,                0.81964,                0.66153,                0.61016,                0.51943,                0.95924,               0.000435,               0.000435,               0.000435
                     15,                0.75077,                0.72806,                 1.0607,                 0.6696,                0.88673,                0.78526,                0.64612,                0.62938,                0.49895,                0.98097,                0.00043,                0.00043,                0.00043
                     16,                0.72457,                0.66107,                 1.0436,                0.74692,                0.76471,                0.81004,                0.65624,                0.60248,                0.48458,                0.96237,               0.000425,               0.000425,               0.000425
                     17,                0.75876,                0.69889,                  1.074,                0.77723,                0.75776,                0.80755,                0.67454,                0.63392,                0.54255,                0.97896,                0.00042,                0.00042,                0.00042
                     18,                0.72984,                0.66328,                 1.0509,                0.81635,                0.92505,                0.89023,                0.75056,                0.62437,                0.51484,                0.96875,               0.000415,               0.000415,               0.000415
                     19,                0.73098,                0.65738,                 1.0706,                0.84648,                0.90297,                0.89051,                 0.7395,                0.64392,                 0.4771,                  0.985,                0.00041,                0.00041,                0.00041
                     20,                0.68944,                0.60468,                 1.0425,                0.90289,                0.87047,                0.93147,                0.77412,                0.60017,                 0.4491,                0.95327,               0.000405,               0.000405,               0.000405
                     21,                0.67792,                0.71371,                 1.0371,                 0.8978,                0.93736,                0.93499,                0.77725,                0.58971,                 0.4214,                0.95217,                 0.0004,                 0.0004,                 0.0004
                     22,                0.71106,                0.62536,                 1.0343,                0.86036,                0.97005,                0.95368,                0.79028,                0.58415,                0.44951,                0.94801,               0.000395,               0.000395,               0.000395
                     23,                0.71928,                 0.6203,                 1.0314,                0.94818,                0.89407,                0.95327,                0.80836,                0.58365,                0.41239,                0.93808,                0.00039,                0.00039,                0.00039
                     24,                0.67921,                0.56852,                 1.0352,                0.93746,                0.99306,                0.96821,                0.81144,                0.63438,                 0.4227,                0.96151,               0.000385,               0.000385,               0.000385
                     25,                0.66648,                0.56295,                 1.0265,                0.83266,                0.99611,                0.95247,                0.81018,                0.61328,                0.42919,                0.95502,                0.00038,                0.00038,                0.00038
                     26,                0.68836,                0.58041,                 1.0452,                0.84857,                0.97059,                0.94604,                0.80319,                0.53745,                 0.4166,                0.92216,               0.000375,               0.000375,               0.000375
                     27,                0.67509,                0.53916,                 1.0406,                0.89496,                0.90829,                0.95251,                0.79077,                0.55306,                0.41961,                0.92603,                0.00037,                0.00037,                0.00037
                     28,                 0.6307,                0.54689,                 1.0001,                0.87452,                0.99653,                0.95133,                0.79739,                0.53772,                0.39691,                0.92196,               0.000365,               0.000365,               0.000365
                     29,                0.63514,                0.50001,                 1.0067,                0.89142,                0.97059,                0.93643,                0.82695,                0.51263,                0.38218,                0.90604,                0.00036,                0.00036,                0.00036
                     30,                 0.6394,                0.52358,                 1.0003,                0.80671,                0.97059,                0.93484,                0.80455,                0.49669,                0.39782,                0.90008,               0.000355,               0.000355,               0.000355
                     31,                0.66854,                0.61898,                 1.0415,                0.90247,                0.93869,                0.96792,                0.83287,                0.51531,                0.40166,                0.90777,                0.00035,                0.00035,                0.00035
                     32,                0.63999,                0.53378,                 1.0212,                0.97677,                0.94118,                0.97355,                0.84404,                0.52476,                0.37037,                0.90364,               0.000345,               0.000345,               0.000345
