                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0797,                 2.1208,                 1.3045,                0.45069,                0.63312,                 0.5268,                 0.3239,                 1.0938,                 2.2474,                 1.4264,             0.00041333,             0.00041333,             0.00041333
                      2,                 1.1034,                 1.5336,                 1.3051,                0.53765,                0.56003,                   0.57,                0.35069,                 1.1131,                  1.961,                 1.5062,              0.0008217,              0.0008217,              0.0008217
                      3,                 1.2087,                 1.6523,                 1.3825,                0.40111,                0.54284,                0.48312,                0.27539,                 1.2712,                 2.1044,                 1.7008,              0.0012217,              0.0012217,              0.0012217
                      4,                 1.1952,                 1.5528,                  1.362,                0.50811,                0.65603,                0.58952,                0.39244,                 1.0801,                 1.8679,                 1.4299,              0.0012125,              0.0012125,              0.0012125
                      5,                 1.1868,                 1.5386,                 1.3663,                0.49256,                0.57906,                0.56342,                0.34297,                 1.2088,                 1.6486,                 1.5505,                 0.0012,                 0.0012,                 0.0012
                      6,                 1.1896,                 1.5427,                 1.4025,                0.69767,                0.67608,                0.73442,                0.48656,                 1.1017,                 1.2309,                 1.4729,              0.0011875,              0.0011875,              0.0011875
                      7,                 1.1416,                 1.4062,                  1.348,                0.74823,                0.70125,                0.76733,                0.53011,                 1.0487,                 1.1308,                 1.3853,               0.001175,               0.001175,               0.001175
                      8,                 1.1168,                 1.3165,                 1.3487,                0.67567,                0.75524,                0.76481,                0.55031,                0.98673,                  1.141,                 1.3313,              0.0011625,              0.0011625,              0.0011625
                      9,                 1.0936,                 1.2962,                 1.3121,                0.75032,                0.69405,                0.78669,                0.54847,                 1.0231,                 1.1311,                 1.3707,                0.00115,                0.00115,                0.00115
                     10,                 1.0694,                 1.2408,                 1.2927,                0.75019,                0.76089,                0.80876,                0.55982,                 1.0583,                0.98419,                 1.3964,              0.0011375,              0.0011375,              0.0011375
                     11,                 1.1145,                 1.2525,                 1.3089,                 0.7793,                0.70522,                0.79534,                0.54094,                 1.0677,                0.99995,                 1.4089,               0.001125,               0.001125,               0.001125
                     12,                 1.0953,                 1.2531,                 1.3094,                0.76974,                0.80797,                0.83693,                0.59364,                0.99825,                0.96187,                 1.3326,              0.0011125,              0.0011125,              0.0011125
                     13,                 1.0447,                 1.1922,                 1.2981,                0.77768,                0.80439,                0.85606,                0.61666,                0.98755,                0.94188,                 1.3173,                 0.0011,                 0.0011,                 0.0011
                     14,                 1.0198,                 1.1144,                 1.2673,                0.80231,                0.82923,                0.88298,                0.65657,                0.88895,                0.82062,                 1.2474,              0.0010875,              0.0010875,              0.0010875
                     15,                 1.0613,                 1.1179,                 1.2758,                 0.7909,                0.81969,                 0.8325,                 0.6317,                0.84438,                0.81199,                 1.2035,               0.001075,               0.001075,               0.001075
                     16,                 1.0184,                 1.0632,                 1.2486,                0.85836,                0.82423,                0.89797,                0.66716,                0.86525,                0.76603,                 1.2086,              0.0010625,              0.0010625,              0.0010625
                     17,                0.97768,                 1.0418,                   1.22,                0.84447,                0.82516,                0.88617,                0.65683,                 0.9174,                0.78845,                 1.2862,                0.00105,                0.00105,                0.00105
                     18,                 1.0313,                 1.0838,                 1.2354,                0.78897,                0.85776,                0.90378,                0.67836,                0.91027,                0.76667,                 1.2346,              0.0010375,              0.0010375,              0.0010375
                     19,                 1.0309,                 1.0554,                 1.2476,                0.87428,                0.81207,                0.90185,                0.69001,                0.85463,                0.73266,                 1.2324,               0.001025,               0.001025,               0.001025
                     20,                0.95238,                0.99087,                  1.224,                0.85852,                 0.8375,                0.89872,                0.70615,                0.82401,                0.71805,                 1.1953,              0.0010125,              0.0010125,              0.0010125
                     21,                0.94817,                0.96066,                 1.2052,                0.87459,                0.86362,                 0.9214,                0.72534,                0.79968,                0.66706,                   1.17,                  0.001,                  0.001,                  0.001
                     22,                0.98458,                 1.0065,                 1.2191,                0.85579,                0.85982,                0.92064,                0.70304,                  0.826,                0.69364,                 1.1863,              0.0009875,              0.0009875,              0.0009875
                     23,                0.96874,                0.98824,                 1.2199,                0.86691,                 0.8863,                0.93178,                0.73245,                0.80924,                0.64319,                 1.1558,               0.000975,               0.000975,               0.000975
                     24,                 0.9379,                0.97611,                 1.2015,                0.86555,                0.86604,                0.90185,                0.72146,                0.80032,                0.72375,                 1.1531,              0.0009625,              0.0009625,              0.0009625
                     25,                0.94528,                0.99682,                 1.1775,                0.83477,                0.87604,                0.91406,                0.71055,                0.80548,                0.71409,                 1.1504,                0.00095,                0.00095,                0.00095
                     26,                0.89981,                 0.8809,                 1.1737,                0.90586,                0.87526,                0.93644,                0.75093,                0.77479,                0.64235,                 1.1362,              0.0009375,              0.0009375,              0.0009375
                     27,                0.95424,                0.90822,                 1.2085,                0.89768,                0.87855,                0.93635,                0.75585,                 0.7547,                 0.6109,                 1.1079,               0.000925,               0.000925,               0.000925
                     28,                0.94602,                0.90728,                 1.1955,                0.89869,                0.89997,                0.94258,                0.74792,                0.78076,                0.58528,                 1.1309,              0.0009125,              0.0009125,              0.0009125
                     29,                 0.9499,                0.91229,                 1.1987,                 0.8611,                0.88938,                0.92943,                 0.7458,                0.74957,                0.58918,                 1.1128,                 0.0009,                 0.0009,                 0.0009
                     30,                0.88312,                0.80092,                 1.1644,                0.92176,                0.87818,                0.94019,                0.75498,                0.74537,                0.56711,                 1.1027,              0.0008875,              0.0008875,              0.0008875
                     31,                0.93974,                0.87875,                 1.1812,                 0.9105,                0.89481,                0.94959,                0.75596,                0.76662,                0.58888,                 1.1264,               0.000875,               0.000875,               0.000875
                     32,                 0.8989,                0.86217,                 1.1782,                0.91544,                0.87989,                0.94451,                0.74818,                0.75659,                 0.5734,                  1.124,              0.0008625,              0.0008625,              0.0008625
                     33,                0.86095,                0.82991,                 1.1588,                0.90742,                0.90758,                 0.9579,                0.77545,                0.73263,                0.52923,                 1.0891,                0.00085,                0.00085,                0.00085
                     34,                0.90488,                0.84588,                   1.17,                0.89935,                0.91203,                0.95097,                0.77162,                0.71664,                0.52327,                 1.0745,              0.0008375,              0.0008375,              0.0008375
                     35,                0.87844,                0.80354,                 1.1557,                0.93571,                0.90762,                0.96269,                0.77029,                0.74647,                0.53832,                 1.1002,               0.000825,               0.000825,               0.000825
                     36,                0.88608,                0.80488,                 1.1482,                 0.9304,                0.91614,                0.95665,                 0.7869,                0.69394,                  0.497,                 1.0573,              0.0008125,              0.0008125,              0.0008125
                     37,                0.87333,                0.79565,                  1.159,                0.89364,                0.90593,                0.95579,                 0.7814,                0.71033,                0.53815,                 1.0618,                 0.0008,                 0.0008,                 0.0008
                     38,                0.84597,                0.78067,                 1.1412,                0.93151,                0.92152,                 0.9678,                0.79542,                0.68703,                0.47083,                 1.0549,              0.0007875,              0.0007875,              0.0007875
                     39,                0.84963,                0.76431,                 1.1443,                0.93527,                0.91985,                0.97473,                0.79962,                0.70243,                0.48167,                  1.064,               0.000775,               0.000775,               0.000775
                     40,                0.82593,                 0.7335,                 1.1285,                0.93002,                0.93918,                0.96397,                0.79793,                0.67849,                0.45887,                 1.0563,              0.0007625,              0.0007625,              0.0007625
                     41,                 0.8398,                0.74395,                 1.1224,                0.93461,                0.91634,                 0.9696,                0.80245,                0.68424,                0.46893,                 1.0495,                0.00075,                0.00075,                0.00075
                     42,                0.84929,                0.70518,                 1.1401,                0.94423,                0.92999,                0.96856,                0.79945,                0.69521,                0.45008,                 1.0584,              0.0007375,              0.0007375,              0.0007375
                     43,                0.82276,                0.71309,                 1.1191,                0.93811,                0.93018,                0.97419,                0.81139,                0.65538,                 0.4696,                 1.0376,               0.000725,               0.000725,               0.000725
                     44,                0.83183,                0.73318,                 1.1242,                0.92814,                0.92024,                0.96853,                0.80427,                0.67243,                0.48116,                 1.0396,              0.0007125,              0.0007125,              0.0007125
                     45,                0.81654,                0.69485,                 1.1172,                0.94698,                0.93109,                0.97435,                0.81336,                0.66339,                0.43497,                 1.0368,                 0.0007,                 0.0007,                 0.0007
                     46,                0.78631,                0.68494,                 1.1109,                 0.9376,                0.94021,                0.97314,                0.82082,                0.63905,                0.43714,                 1.0188,              0.0006875,              0.0006875,              0.0006875
                     47,                0.81653,                0.71723,                 1.1335,                0.94004,                0.93328,                0.97442,                0.81335,                0.66392,                0.44019,                 1.0433,               0.000675,               0.000675,               0.000675
                     48,                0.81027,                0.70159,                  1.105,                0.94776,                0.93199,                0.97856,                 0.8202,                0.65504,                0.43777,                 1.0302,              0.0006625,              0.0006625,              0.0006625
                     49,                0.79012,                0.67637,                 1.0929,                0.93895,                0.94786,                0.97345,                0.82715,                0.62089,                0.40395,                 1.0139,                0.00065,                0.00065,                0.00065
                     50,                0.78186,                0.67975,                 1.1166,                0.93593,                0.93623,                0.97524,                0.81563,                0.63038,                0.42187,                 1.0147,              0.0006375,              0.0006375,              0.0006375
                     51,                0.76949,                0.64124,                 1.1022,                 0.9474,                0.95487,                0.97802,                0.82963,                0.61805,                0.40042,                 1.0064,               0.000625,               0.000625,               0.000625
                     52,                0.74893,                0.63751,                 1.0921,                  0.962,                0.94988,                 0.9781,                0.82165,                0.64501,                0.40155,                 1.0414,              0.0006125,              0.0006125,              0.0006125
                     53,                0.75375,                0.62448,                 1.0988,                0.92701,                0.95161,                0.97842,                0.82734,                0.60321,                0.40155,                0.99817,                 0.0006,                 0.0006,                 0.0006
                     54,                0.78456,                0.63669,                 1.1062,                0.95532,                0.96624,                0.98647,                0.84653,                0.59547,                0.36762,                0.99032,              0.0005875,              0.0005875,              0.0005875
